3,3,1,"passability/0,0"
3,3,10,"tilesheet/2,1"
3,3,5,"tilesheet/0,6"
0,4,10,"tilesheet/1,1"
3,2,1,"passability/0,0"
3,2,10,"tilesheet/2,1"
3,2,5,"tilesheet/0,7"
3,1,1,"passability/0,0"
3,1,10,"tilesheet/1,1"
3,1,5,"tilesheet/0,6"
0,2,10,"tilesheet/1,1"
0,2,11,"tilesheet/1,3"
3,0,10,"tilesheet/1,1"
3,0,5,"tilesheet/0,7"
0,3,10,"tilesheet/1,1"
0,3,11,"tilesheet/1,3"
0,0,10,"tilesheet/1,1"
0,1,10,"tilesheet/1,1"
0,1,11,"tilesheet/1,3"
4,0,10,"tilesheet/1,1"
4,0,5,"tilesheet/1,7"
1,1,10,"tilesheet/1,1"
1,1,11,"tilesheet/2,3"
4,1,1,"passability/0,0"
4,1,10,"tilesheet/1,2"
4,1,5,"tilesheet/1,6"
1,0,10,"tilesheet/1,1"
1,3,10,"tilesheet/1,1"
1,2,10,"tilesheet/1,1"
1,2,11,"tilesheet/2,3"
4,4,16,"tilesheet/9,0"
4,4,5,"tilesheet/1,7"
4,4,30,"tilesheet/10,6"
1,4,10,"tilesheet/1,1"
2,2,10,"tilesheet/1,1"
4,2,16,"tilesheet/8,1"
4,2,5,"tilesheet/1,7"
2,3,10,"tilesheet/1,1"
4,3,16,"tilesheet/9,0"
4,3,5,"tilesheet/1,6"
2,4,10,"tilesheet/1,1"
2,4,30,"obstacles/0,0"
2,0,10,"tilesheet/1,1"
2,1,10,"tilesheet/1,1"
3,4,1,"passability/0,0"
3,4,10,"tilesheet/1,1"
3,4,5,"tilesheet/0,7"
3,4,30,"obstacles/1,0"
