0,1,1,"passability/0,0"
1,1,1,"passability/0,0"
2,1,1,"passability/0,0"
3,1,1,"passability/0,0"
4,1,1,"passability/0,0"
0,0,5,"tilesheet/1,7"
1,0,5,"tilesheet/0,7"
2,0,5,"tilesheet/0,6"
3,0,5,"tilesheet/1,6"
4,0,5,"tilesheet/0,6"
0,1,5,"tilesheet/1,6"
1,1,5,"tilesheet/0,6"
2,1,5,"tilesheet/0,7"
3,1,5,"tilesheet/1,7"
4,1,5,"tilesheet/0,7"
0,1,10,"tilesheet/1,0"
1,1,10,"tilesheet/1,0"
2,1,10,"tilesheet/1,0"
3,1,10,"tilesheet/1,0"
4,1,10,"tilesheet/1,0"
0,2,10,"tilesheet/1,1"
1,2,10,"tilesheet/1,1"
2,2,10,"tilesheet/1,1"
3,2,10,"tilesheet/1,1"
4,2,10,"tilesheet/1,1"
0,3,10,"tilesheet/1,2"
1,3,10,"tilesheet/1,2"
2,3,10,"tilesheet/1,2"
3,3,10,"tilesheet/1,2"
4,3,10,"tilesheet/1,2"
0,0,11,"tilesheet/7,5"
1,0,11,"tilesheet/8,5"
2,0,30,"obstacles/8,0"
3,0,30,"obstacles/9,0"
