71,51,1
70,50,1
71,50,1
70,51,1
75,81,1
75,80,1
103,66,1
103,65,1
104,66,1
102,65,1
104,67,1
73,57,1
74,58,1
74,59,1
73,59,1
74,57,1
73,58,1
98,79,1
52,84,1
52,83,1
51,84,1
51,81,1
52,82,1
51,80,1
52,80,1
51,83,1
52,81,1
51,82,1
73,69,1
73,67,1
73,68,1
74,68,1
74,67,1
74,69,1
65,61,1
105,67,1
106,66,1
105,66,1
107,66,1
74,78,1
74,79,1
98,80,1
98,81,1
98,82,1
98,83,1
75,79,1
75,78,1
51,79,1
52,79,1
51,78,1
52,78,1
64,61,1
51,85,1
52,85,1
52,86,1
51,86,1
74,80,1
74,81,1
54,72,1
54,73,1
54,71,1
112,66,1
111,66,1
113,67,1
113,66,1
114,67,1
110,66,1
112,67,1
111,67,1
