0,2,1,passability/platform
1,2,1,passability/platform
2,2,1,passability/wall
3,2,1,passability/wall
4,2,1,passability/wall
2,3,1,passability/wall
2,4,1,passability/wall
0,0,5,"tilesheet/0,6"
1,0,5,"tilesheet/0,7"
2,0,5,"tilesheet/1,7"
3,0,5,"tilesheet/0,7"
4,0,5,"tilesheet/1,7"
0,1,5,"tilesheet/0,7"
1,1,5,"tilesheet/0,6"
2,1,5,"tilesheet/1,6"
3,1,5,"tilesheet/0,6"
4,1,5,"tilesheet/1,6"
0,2,5,"tilesheet/0,6"
1,2,5,"tilesheet/0,7"
2,2,5,"tilesheet/1,7"
3,2,5,"tilesheet/0,7"
4,2,5,"tilesheet/1,7"
0,3,5,"tilesheet/0,6"
1,3,5,"tilesheet/1,6"
2,3,5,"tilesheet/0,6"
0,4,5,"tilesheet/0,7"
1,4,5,"tilesheet/1,7"
2,4,5,"tilesheet/0,7"
0,2,8,"tilesheet/0,5"
1,2,8,"tilesheet/0,5"
2,2,10,"tilesheet/1,3"
3,2,10,"tilesheet/1,3"
4,2,10,"tilesheet/2,3"
2,3,10,"tilesheet/1,3"
3,3,10,"tilesheet/1,1"
4,3,10,"tilesheet/1,1"
2,4,10,"tilesheet/0,1"
3,4,10,"tilesheet/1,1"
4,4,10,"tilesheet/1,1"
1,2,11,"tilesheet/3,5"
